Mechanism,Method,Iteration,Execution_Time,Train_MAE,Train_RMSE,Train_R2,Train_Correlation,Train_Distribution_similarity,Test_MAE,Test_RMSE,Test_R2,Test_Correlation,Test_Distribution_similarity,Hyperparameters,Missing_Rate
MCAR,Mean,1,0.005454,3.7485487829872963,9.274269182700069,0.80804156482702,0.898971586417777,0.4000682161224638,3.5634965666606306,7.6513947984248905,0.8417718145588069,0.918999904075461,0.40118425977421646,{'strategy': 'mean'},0.1
MCAR,Median,1,0.007924,3.5537915186964697,9.560883156639195,0.7959935829714172,0.8955734907213176,0.5928067531966568,3.428695652173913,7.645800211198643,0.8420031182042185,0.9186105555299596,0.5691186885920969,{'strategy': 'median'},0.1
MCAR,KNN,1,0.408524,2.591080008355964,6.499315096245458,0.9057279410593903,0.9530121610570792,0.7416481081579424,2.4579999999999997,5.13430152736602,0.9287531995926592,0.9639492494443392,0.7165517540616988,"{'n_neighbors': 5, 'weights': 'uniform'}",0.1
MCAR,MICE,1,2.601247,2.3513425300813977,6.258648467359146,0.9125803778651908,0.9554624350659376,0.6916901244951302,2.323083480496137,5.829889302216267,0.9081406766907051,0.9574668935563537,0.6651074157606109,"{'max_iter': 10, 'n_nearest_features': 10}",0.1
MCAR,MissForest,1,287.764835,2.0354355546271155,5.629844906050186,0.9292639721374726,0.9641839774564942,0.7613783330950769,1.9929956521739132,4.604887122725537,0.942688654709361,0.9721774410125746,0.7305003198056743,"{'n_estimators': 100, 'max_iter': 5}",0.1
MCAR,EM,1,5.479436,2.19622414737475,6.042216819854067,0.9185219891349938,0.9584569436924506,0.7542422449462531,3.5610093311732847,7.644610652691869,0.8420522777189653,0.9190067578838271,0.40210001068996737,"{'max_iter': 50, 'tolerance': 0.001}",0.1
MCAR,Mean,2,0.005671,3.528684415989526,8.628509301034828,0.82427470196964,0.9078964726156646,0.4032698878006945,3.612784986279554,9.137921049036306,0.7990893202166987,0.8946993671560194,0.3895422746280479,{'strategy': 'mean'},0.1
MCAR,Median,2,0.008137,3.4102120294244918,9.024487097527008,0.8077759150926214,0.9028665256549472,0.5930879786430385,3.47598627787307,9.2365056174174,0.7947308813747189,0.8934840282816536,0.5594001426539239,{'strategy': 'median'},0.1
MCAR,KNN,2,0.410217,2.59169190826482,6.346786291927272,0.9049240889846354,0.9513342779248074,0.7529227401089283,2.6319039451114925,7.169537234085851,0.8763225651111237,0.9368558491458215,0.7145814124738195,"{'n_neighbors': 5, 'weights': 'uniform'}",0.1
MCAR,MICE,2,2.286635,2.5068918902973483,6.021795949888521,0.9144116180957309,0.9564545670793626,0.6947281224347162,2.4564449772353125,6.268406123214874,0.9054585034912007,0.9515656336233896,0.6692782374993658,"{'max_iter': 10, 'n_nearest_features': 10}",0.1
MCAR,MissForest,2,284.325366,2.0900216356555603,5.6797965945320135,0.9238572932240866,0.9615066930400128,0.7589204906273154,2.0206174957118352,5.963546336338838,0.9144308109288883,0.9563006492614706,0.7239327653852365,"{'n_estimators': 100, 'max_iter': 5}",0.1
MCAR,EM,2,3.860105,2.148622518057463,5.839485368413972,0.9195155659419304,0.9594171804171849,0.7437364656419553,3.6157718485079786,9.141633704176622,0.7989260306472834,0.8946686953126166,0.3895422746280479,"{'max_iter': 50, 'tolerance': 0.001}",0.1
MCAR,Mean,3,0.005506,3.6380504464993275,9.30501678080711,0.8095385302952443,0.8997489380295993,0.41155605318655064,3.5951592622246866,9.282327178407744,0.8066204716356713,0.898130977535696,0.3722025584921814,{'strategy': 'mean'},0.1
MCAR,Median,3,0.008185,3.4891891891891893,9.634948081449352,0.7957925569336257,0.8965200777547937,0.5898230631233503,3.357320099255583,9.637130084281992,0.791554657882583,0.8948924785909096,0.5689657403580065,{'strategy': 'median'},0.1
