target_variable;features;algorithm;imputation_method;feature_selection_method;n_clusters;scores;cross_validation_score;cross_validation_std;cluster_sizes;remove_missing_scores
Moca M6;['Age', 'Nb An Scol', 'Iq Code J0', 'Poids', 'Taille', 'Moca J7'];gmm;N/A;pca;3;{'silhouette': 0.1159998388729362, 'calinski_harabasz': 13.99674669321181, 'davies_bouldin': 2.40111674484749};0.09337876303222825;0.05280311912301499;{0: 33, 1: 69, 2: 18};True
Moca M6;['Age', 'Nb An Scol', 'Iq Code J0', 'Poids', 'Taille', 'Moca J7'];gmm;N/A;agglomeration;2;{'silhouette': 0.16202243143895423, 'calinski_harabasz': 26.096512911345997, 'davies_bouldin': 1.8596692588671677};0.1148758430966611;0.09732106052385116;{0: 46, 1: 74};True
Moca M6;['Age', 'Nb An Scol', 'Iq Code J0', 'Poids', 'Taille', 'Moca J7'];gmm;N/A;agglomeration;3;{'silhouette': 0.11599983887293623, 'calinski_harabasz': 13.996746693211819, 'davies_bouldin': 2.401116744847489};0.09337876303222825;0.05280311912301499;{0: 33, 1: 69, 2: 18};True
Moca M6;['Age', 'Nb An Scol', 'Iq Code J0', 'Poids', 'Taille', 'Moca J7'];gmm;N/A;variance;2;{'silhouette': 0.1620224314420322, 'calinski_harabasz': 26.096512911345997, 'davies_bouldin': 1.8596692588671677};0.11487584309666109;0.09732106052385113;{0: 46, 1: 74};True
Moca M6;['Age', 'Nb An Scol', 'Iq Code J0', 'Poids', 'Taille', 'Moca J7'];gmm;N/A;variance;3;{'silhouette': 0.11599983887573558, 'calinski_harabasz': 13.996746693211815, 'davies_bouldin': 2.40111674484749};0.09337876303222824;0.052803119123015;{0: 33, 1: 69, 2: 18};True
Moca M6;['Age', 'Nb An Scol', 'Iq Code J0', 'Poids', 'Taille', 'Moca J7'];gmm;N/A;pca;2;{'silhouette': 0.1620224314389542, 'calinski_harabasz': 26.096512911345982, 'davies_bouldin': 1.8596692588671677};0.11487584309666111;0.09732106052385119;{0: 46, 1: 74};True
Moca M6;['Age', 'Nb An Scol', 'Iq Code J0', 'Poids', 'Taille', 'Moca J7'];gmm;N/A;pca;3;{'silhouette': 0.1159998388729362, 'calinski_harabasz': 13.99674669321181, 'davies_bouldin': 2.40111674484749};0.09337876303222825;0.05280311912301499;{0: 33, 1: 69, 2: 18};True
Moca M6;['Age', 'Nb An Scol', 'Iq Code J0', 'Poids', 'Taille', 'Moca J7'];gmm;N/A;agglomeration;2;{'silhouette': 0.16202243143895423, 'calinski_harabasz': 26.096512911345997, 'davies_bouldin': 1.8596692588671677};0.1148758430966611;0.09732106052385116;{0: 46, 1: 74};True
Moca M6;['Age', 'Nb An Scol', 'Iq Code J0', 'Poids', 'Taille', 'Moca J7'];gmm;N/A;agglomeration;3;{'silhouette': 0.11599983887293623, 'calinski_harabasz': 13.996746693211819, 'davies_bouldin': 2.401116744847489};0.09337876303222825;0.05280311912301499;{0: 33, 1: 69, 2: 18};True
Moca M6;['Age', 'Nb An Scol', 'Iq Code J0', 'Poids', 'Taille', 'Moca J7'];gmm;N/A;variance;2;{'silhouette': 0.1620224314420322, 'calinski_harabasz': 26.096512911345997, 'davies_bouldin': 1.8596692588671677};0.11487584309666109;0.09732106052385113;{0: 46, 1: 74};True
