target_variable;features;algorithm;imputation_method;feature_selection_method;n_clusters;scores;cross_validation_score;cross_validation_std;cluster_sizes;remove_missing_scores
Moca M6;['Age', 'Nb An Scol', 'Iq Code J0', 'Poids', 'Taille', 'Mmse J7', 'Moca J7'];spectral;N/A;variance;2;{'silhouette': 0.3717126931514115, 'calinski_harabasz': 12.05615139176434, 'davies_bouldin': 0.8357211914144715};0.27758806092846555;0.08817982288649635;{0: 116, 1: 4};True
Moca M6;['Age', 'Nb An Scol', 'Iq Code J0', 'Poids', 'Taille', 'Mmse J7', 'Moca J7'];spectral;N/A;variance;3;{'silhouette': 0.3348704013905845, 'calinski_harabasz': 6.514653962010668, 'davies_bouldin': 0.6517913155028087};0.2694058355068461;0.07327525389025337;{0: 116, 1: 2, 2: 2};True
Moca M6;['Age', 'Nb An Scol', 'Iq Code J0', 'Poids', 'Taille', 'Mmse J7', 'Moca J7'];spectral;N/A;pca;2;{'silhouette': 0.3717126931514115, 'calinski_harabasz': 12.056151391764336, 'davies_bouldin': 0.8357211914144722};0.27758806092846566;0.08817982288649637;{0: 116, 1: 4};True
Moca M6;['Age', 'Nb An Scol', 'Iq Code J0', 'Poids', 'Taille', 'Mmse J7', 'Moca J7'];spectral;N/A;pca;3;{'silhouette': 0.3348704013905845, 'calinski_harabasz': 6.514653962010668, 'davies_bouldin': 0.6517913155028087};0.26940583550684616;0.0732752538902534;{0: 116, 1: 2, 2: 2};True
Moca M6;['Age', 'Nb An Scol', 'Iq Code J0', 'Poids', 'Taille', 'Mmse J7', 'Moca J7'];spectral;N/A;agglomeration;2;{'silhouette': 0.3717126931514114, 'calinski_harabasz': 12.056151391764336, 'davies_bouldin': 0.8357211914144715};0.27758806092846555;0.08817982288649633;{0: 116, 1: 4};True
Moca M6;['Age', 'Nb An Scol', 'Iq Code J0', 'Poids', 'Taille', 'Mmse J7', 'Moca J7'];spectral;N/A;agglomeration;3;{'silhouette': 0.3348704013905845, 'calinski_harabasz': 6.514653962010668, 'davies_bouldin': 0.6517913155028074};0.2694058355068461;0.07327525389025337;{0: 116, 1: 2, 2: 2};True
Moca M6;['Age', 'Nb An Scol', 'Iq Code J0', 'Poids', 'Taille', 'Mmse J7', 'Moca J7'];hierarchical;N/A;variance;2;{'silhouette': 0.18171516318006792, 'calinski_harabasz': 28.7570549712694, 'davies_bouldin': 1.858671859990701};0.29529635419122147;0.10001680681455498;{0: 59, 1: 61};True
Moca M6;['Age', 'Nb An Scol', 'Iq Code J0', 'Poids', 'Taille', 'Mmse J7', 'Moca J7'];hierarchical;N/A;variance;3;{'silhouette': 0.199799515824744, 'calinski_harabasz': 22.666106386469696, 'davies_bouldin': 1.4733558309159418};0.26750981652529887;0.06069528349012595;{0: 61, 1: 55, 2: 4};True
Moca M6;['Age', 'Nb An Scol', 'Iq Code J0', 'Poids', 'Taille', 'Mmse J7', 'Moca J7'];hierarchical;N/A;pca;2;{'silhouette': 0.18171516318006806, 'calinski_harabasz': 28.757054971269437, 'davies_bouldin': 1.8586718599907004};0.2952963541912216;0.10001680681455491;{0: 59, 1: 61};True
Moca M6;['Age', 'Nb An Scol', 'Iq Code J0', 'Poids', 'Taille', 'Mmse J7', 'Moca J7'];hierarchical;N/A;pca;3;{'silhouette': 0.19979951582474414, 'calinski_harabasz': 22.666106386469707, 'davies_bouldin': 1.4733558309159414};0.26750981652529887;0.06069528349012592;{0: 61, 1: 55, 2: 4};True
Moca M6;['Age', 'Nb An Scol', 'Iq Code J0', 'Poids', 'Taille', 'Mmse J7', 'Moca J7'];hierarchical;N/A;agglomeration;2;{'silhouette': 0.18171516318006795, 'calinski_harabasz': 28.757054971269405, 'davies_bouldin': 1.8586718599907015};0.29529635419122147;0.10001680681455498;{0: 59, 1: 61};True
Moca M6;['Age', 'Nb An Scol', 'Iq Code J0', 'Poids', 'Taille', 'Mmse J7', 'Moca J7'];hierarchical;N/A;agglomeration;3;{'silhouette': 0.199799515824744, 'calinski_harabasz': 22.666106386469693, 'davies_bouldin': 1.4733558309159418};0.2675098165252988;0.06069528349012596;{0: 61, 1: 55, 2: 4};True
Moca M6;['Age', 'Nb An Scol', 'Iq Code J0', 'Poids', 'Taille', 'Mmse J7', 'Moca J7'];hierarchical;N/A;variance;2;{'silhouette': 0.18171516318006792, 'calinski_harabasz': 28.7570549712694, 'davies_bouldin': 1.858671859990701};0.29529635419122147;0.10001680681455498;{0: 59, 1: 61};True
Moca M6;['Age', 'Nb An Scol', 'Iq Code J0', 'Poids', 'Taille', 'Mmse J7', 'Moca J7'];hierarchical;N/A;variance;3;{'silhouette': 0.199799515824744, 'calinski_harabasz': 22.666106386469696, 'davies_bouldin': 1.4733558309159418};0.26750981652529887;0.06069528349012595;{0: 61, 1: 55, 2: 4};True
Moca M6;['Age', 'Nb An Scol', 'Iq Code J0', 'Poids', 'Taille', 'Mmse J7', 'Moca J7'];hierarchical;N/A;pca;2;{'silhouette': 0.18171516318006806, 'calinski_harabasz': 28.757054971269437, 'davies_bouldin': 1.8586718599907004};0.2952963541912216;0.10001680681455491;{0: 59, 1: 61};True
Moca M6;['Age', 'Nb An Scol', 'Iq Code J0', 'Poids', 'Taille', 'Mmse J7', 'Moca J7'];hierarchical;N/A;pca;3;{'silhouette': 0.19979951582474414, 'calinski_harabasz': 22.666106386469707, 'davies_bouldin': 1.4733558309159414};0.26750981652529887;0.06069528349012592;{0: 61, 1: 55, 2: 4};True
Moca M6;['Age', 'Nb An Scol', 'Iq Code J0', 'Poids', 'Taille', 'Mmse J7', 'Moca J7'];hierarchical;N/A;agglomeration;2;{'silhouette': 0.18171516318006795, 'calinski_harabasz': 28.757054971269405, 'davies_bouldin': 1.8586718599907015};0.29529635419122147;0.10001680681455498;{0: 59, 1: 61};True
Moca M6;['Age', 'Nb An Scol', 'Iq Code J0', 'Poids', 'Taille', 'Mmse J7', 'Moca J7'];hierarchical;N/A;agglomeration;3;{'silhouette': 0.199799515824744, 'calinski_harabasz': 22.666106386469693, 'davies_bouldin': 1.4733558309159418};0.2675098165252988;0.06069528349012596;{0: 61, 1: 55, 2: 4};True
Moca M6;['Age', 'Nb An Scol', 'Iq Code J0', 'Poids', 'Taille', 'Mmse J7', 'Moca J7'];hierarchical;N/A;variance;2;{'silhouette': 0.18171516318006792, 'calinski_harabasz': 28.7570549712694, 'davies_bouldin': 1.858671859990701};0.29529635419122147;0.10001680681455498;{0: 59, 1: 61};True
Moca M6;['Age', 'Nb An Scol', 'Iq Code J0', 'Poids', 'Taille', 'Mmse J7', 'Moca J7'];hierarchical;N/A;variance;3;{'silhouette': 0.199799515824744, 'calinski_harabasz': 22.666106386469696, 'davies_bouldin': 1.4733558309159418};0.26750981652529887;0.06069528349012595;{0: 61, 1: 55, 2: 4};True
Moca M6;['Age', 'Nb An Scol', 'Iq Code J0', 'Poids', 'Taille', 'Mmse J7', 'Moca J7'];hierarchical;N/A;pca;2;{'silhouette': 0.18171516318006806, 'calinski_harabasz': 28.757054971269437, 'davies_bouldin': 1.8586718599907004};0.2952963541912216;0.10001680681455491;{0: 59, 1: 61};True
Moca M6;['Age', 'Nb An Scol', 'Iq Code J0', 'Poids', 'Taille', 'Mmse J7', 'Moca J7'];hierarchical;N/A;pca;3;{'silhouette': 0.19979951582474414, 'calinski_harabasz': 22.666106386469707, 'davies_bouldin': 1.4733558309159414};0.26750981652529887;0.06069528349012592;{0: 61, 1: 55, 2: 4};True
Moca M6;['Age', 'Nb An Scol', 'Iq Code J0', 'Poids', 'Taille', 'Mmse J7', 'Moca J7'];hierarchical;N/A;agglomeration;2;{'silhouette': 0.18171516318006795, 'calinski_harabasz': 28.757054971269405, 'davies_bouldin': 1.8586718599907015};0.29529635419122147;0.10001680681455498;{0: 59, 1: 61};True
Moca M6;['Age', 'Nb An Scol', 'Iq Code J0', 'Poids', 'Taille', 'Mmse J7', 'Moca J7'];hierarchical;N/A;agglomeration;3;{'silhouette': 0.199799515824744, 'calinski_harabasz': 22.666106386469693, 'davies_bouldin': 1.4733558309159418};0.2675098165252988;0.06069528349012596;{0: 61, 1: 55, 2: 4};True
Moca M6;['Age', 'Nb An Scol', 'Iq Code J0', 'Poids', 'Taille', 'Mmse J7', 'Moca J7'];hierarchical;N/A;variance;2;{'silhouette': 0.18171516318006792, 'calinski_harabasz': 28.7570549712694, 'davies_bouldin': 1.858671859990701};0.29529635419122147;0.10001680681455498;{0: 59, 1: 61};True
Moca M6;['Age', 'Nb An Scol', 'Iq Code J0', 'Poids', 'Taille', 'Mmse J7', 'Moca J7'];hierarchical;N/A;variance;3;{'silhouette': 0.199799515824744, 'calinski_harabasz': 22.666106386469696, 'davies_bouldin': 1.4733558309159418};0.26750981652529887;0.06069528349012595;{0: 61, 1: 55, 2: 4};True
Moca M6;['Age', 'Nb An Scol', 'Iq Code J0', 'Poids', 'Taille', 'Mmse J7', 'Moca J7'];hierarchical;N/A;pca;2;{'silhouette': 0.18171516318006806, 'calinski_harabasz': 28.757054971269437, 'davies_bouldin': 1.8586718599907004};0.2952963541912216;0.10001680681455491;{0: 59, 1: 61};True
Moca M6;['Age', 'Nb An Scol', 'Iq Code J0', 'Poids', 'Taille', 'Mmse J7', 'Moca J7'];hierarchical;N/A;pca;3;{'silhouette': 0.19979951582474414, 'calinski_harabasz': 22.666106386469707, 'davies_bouldin': 1.4733558309159414};0.26750981652529887;0.06069528349012592;{0: 61, 1: 55, 2: 4};True
Moca M6;['Age', 'Nb An Scol', 'Iq Code J0', 'Poids', 'Taille', 'Mmse J7', 'Moca J7'];hierarchical;N/A;agglomeration;2;{'silhouette': 0.18171516318006795, 'calinski_harabasz': 28.757054971269405, 'davies_bouldin': 1.8586718599907015};0.29529635419122147;0.10001680681455498;{0: 59, 1: 61};True
Moca M6;['Age', 'Nb An Scol', 'Iq Code J0', 'Poids', 'Taille', 'Mmse J7', 'Moca J7'];hierarchical;N/A;agglomeration;3;{'silhouette': 0.199799515824744, 'calinski_harabasz': 22.666106386469693, 'davies_bouldin': 1.4733558309159418};0.2675098165252988;0.06069528349012596;{0: 61, 1: 55, 2: 4};True
Moca M6;['Age', 'Nb An Scol', 'Iq Code J0', 'Poids', 'Taille', 'Mmse J7', 'Moca J7'];birch;N/A;variance;2;{'silhouette': 0.17944447467761956, 'calinski_harabasz': 28.474207574659154, 'davies_bouldin': 1.8595810130915953};0.13837264055737764;0.030525636895370127;{0: 62, 1: 58};True
Moca M6;['Age', 'Nb An Scol', 'Iq Code J0', 'Poids', 'Taille', 'Mmse J7', 'Moca J7'];birch;N/A;variance;3;{'silhouette': 0.1987510596515524, 'calinski_harabasz': 22.517638454789413, 'davies_bouldin': 1.4765991991999956};0.0707537825005614;0.0356325370595833;{0: 58, 1: 58, 2: 4};True
Moca M6;['Age', 'Nb An Scol', 'Iq Code J0', 'Poids', 'Taille', 'Mmse J7', 'Moca J7'];birch;N/A;pca;2;{'silhouette': 0.17944447467761968, 'calinski_harabasz': 28.474207574659182, 'davies_bouldin': 1.8595810130915946};0.1383726405573777;0.03052563689537012;{0: 62, 1: 58};True
Moca M6;['Age', 'Nb An Scol', 'Iq Code J0', 'Poids', 'Taille', 'Mmse J7', 'Moca J7'];birch;N/A;pca;3;{'silhouette': 0.19875105965155254, 'calinski_harabasz': 22.517638454789434, 'davies_bouldin': 1.4765991991999954};0.07075378250056143;0.03563253705958327;{0: 58, 1: 58, 2: 4};True
Moca M6;['Age', 'Nb An Scol', 'Iq Code J0', 'Poids', 'Taille', 'Mmse J7', 'Moca J7'];birch;N/A;agglomeration;2;{'silhouette': 0.17944447467761956, 'calinski_harabasz': 28.474207574659154, 'davies_bouldin': 1.8595810130915955};0.13837264055737764;0.030525636895370124;{0: 62, 1: 58};True
Moca M6;['Age', 'Nb An Scol', 'Iq Code J0', 'Poids', 'Taille', 'Mmse J7', 'Moca J7'];birch;N/A;agglomeration;3;{'silhouette': 0.1987510596515524, 'calinski_harabasz': 22.517638454789413, 'davies_bouldin': 1.4765991991999956};0.07075378250056139;0.03563253705958328;{0: 58, 1: 58, 2: 4};True
Moca M6;['Age', 'Nb An Scol', 'Iq Code J0', 'Poids', 'Taille', 'Mmse J7', 'Moca J7'];birch;N/A;variance;2;{'silhouette': 0.17944447467761956, 'calinski_harabasz': 28.474207574659154, 'davies_bouldin': 1.8595810130915953};0.13837264055737764;0.030525636895370127;{0: 62, 1: 58};True
Moca M6;['Age', 'Nb An Scol', 'Iq Code J0', 'Poids', 'Taille', 'Mmse J7', 'Moca J7'];birch;N/A;variance;3;{'silhouette': 0.1987510596515524, 'calinski_harabasz': 22.517638454789413, 'davies_bouldin': 1.4765991991999956};0.0707537825005614;0.0356325370595833;{0: 58, 1: 58, 2: 4};True
Moca M6;['Age', 'Nb An Scol', 'Iq Code J0', 'Poids', 'Taille', 'Mmse J7', 'Moca J7'];birch;N/A;pca;2;{'silhouette': 0.17944447467761968, 'calinski_harabasz': 28.474207574659182, 'davies_bouldin': 1.8595810130915946};0.1383726405573777;0.03052563689537012;{0: 62, 1: 58};True
Moca M6;['Age', 'Nb An Scol', 'Iq Code J0', 'Poids', 'Taille', 'Mmse J7', 'Moca J7'];birch;N/A;pca;3;{'silhouette': 0.19875105965155254, 'calinski_harabasz': 22.517638454789434, 'davies_bouldin': 1.4765991991999954};0.07075378250056143;0.03563253705958327;{0: 58, 1: 58, 2: 4};True
Moca M6;['Age', 'Nb An Scol', 'Iq Code J0', 'Poids', 'Taille', 'Mmse J7', 'Moca J7'];birch;N/A;agglomeration;2;{'silhouette': 0.17944447467761956, 'calinski_harabasz': 28.474207574659154, 'davies_bouldin': 1.8595810130915955};0.13837264055737764;0.030525636895370124;{0: 62, 1: 58};True
Moca M6;['Age', 'Nb An Scol', 'Iq Code J0', 'Poids', 'Taille', 'Mmse J7', 'Moca J7'];birch;N/A;agglomeration;3;{'silhouette': 0.1987510596515524, 'calinski_harabasz': 22.517638454789413, 'davies_bouldin': 1.4765991991999956};0.07075378250056139;0.03563253705958328;{0: 58, 1: 58, 2: 4};True
Moca M6;['Age', 'Nb An Scol', 'Iq Code J0', 'Poids', 'Taille', 'Mmse J7', 'Moca J7'];birch;N/A;variance;2;{'silhouette': 0.17944447467761956, 'calinski_harabasz': 28.474207574659154, 'davies_bouldin': 1.8595810130915953};0.13837264055737764;0.030525636895370127;{0: 62, 1: 58};True
Moca M6;['Age', 'Nb An Scol', 'Iq Code J0', 'Poids', 'Taille', 'Mmse J7', 'Moca J7'];birch;N/A;variance;3;{'silhouette': 0.1987510596515524, 'calinski_harabasz': 22.517638454789413, 'davies_bouldin': 1.4765991991999956};0.0707537825005614;0.0356325370595833;{0: 58, 1: 58, 2: 4};True
Moca M6;['Age', 'Nb An Scol', 'Iq Code J0', 'Poids', 'Taille', 'Mmse J7', 'Moca J7'];birch;N/A;pca;2;{'silhouette': 0.17944447467761968, 'calinski_harabasz': 28.474207574659182, 'davies_bouldin': 1.8595810130915946};0.1383726405573777;0.03052563689537012;{0: 62, 1: 58};True
Moca M6;['Age', 'Nb An Scol', 'Iq Code J0', 'Poids', 'Taille', 'Mmse J7', 'Moca J7'];birch;N/A;pca;3;{'silhouette': 0.19875105965155254, 'calinski_harabasz': 22.517638454789434, 'davies_bouldin': 1.4765991991999954};0.07075378250056143;0.03563253705958327;{0: 58, 1: 58, 2: 4};True
Moca M6;['Age', 'Nb An Scol', 'Iq Code J0', 'Poids', 'Taille', 'Mmse J7', 'Moca J7'];birch;N/A;agglomeration;2;{'silhouette': 0.17944447467761956, 'calinski_harabasz': 28.474207574659154, 'davies_bouldin': 1.8595810130915955};0.13837264055737764;0.030525636895370124;{0: 62, 1: 58};True
Moca M6;['Age', 'Nb An Scol', 'Iq Code J0', 'Poids', 'Taille', 'Mmse J7', 'Moca J7'];birch;N/A;agglomeration;3;{'silhouette': 0.1987510596515524, 'calinski_harabasz': 22.517638454789413, 'davies_bouldin': 1.4765991991999956};0.07075378250056139;0.03563253705958328;{0: 58, 1: 58, 2: 4};True
Moca M6;['Age', 'Nb An Scol', 'Iq Code J0', 'Poids', 'Taille', 'Mmse J7', 'Moca J7'];birch;N/A;variance;2;{'silhouette': 0.17944447467761956, 'calinski_harabasz': 28.474207574659154, 'davies_bouldin': 1.8595810130915953};0.13837264055737764;0.030525636895370127;{0: 62, 1: 58};True
Moca M6;['Age', 'Nb An Scol', 'Iq Code J0', 'Poids', 'Taille', 'Mmse J7', 'Moca J7'];birch;N/A;variance;3;{'silhouette': 0.1987510596515524, 'calinski_harabasz': 22.517638454789413, 'davies_bouldin': 1.4765991991999956};0.0707537825005614;0.0356325370595833;{0: 58, 1: 58, 2: 4};True
Moca M6;['Age', 'Nb An Scol', 'Iq Code J0', 'Poids', 'Taille', 'Mmse J7', 'Moca J7'];birch;N/A;pca;2;{'silhouette': 0.17944447467761968, 'calinski_harabasz': 28.474207574659182, 'davies_bouldin': 1.8595810130915946};0.1383726405573777;0.03052563689537012;{0: 62, 1: 58};True
Moca M6;['Age', 'Nb An Scol', 'Iq Code J0', 'Poids', 'Taille', 'Mmse J7', 'Moca J7'];birch;N/A;pca;3;{'silhouette': 0.19875105965155254, 'calinski_harabasz': 22.517638454789434, 'davies_bouldin': 1.4765991991999954};0.07075378250056143;0.03563253705958327;{0: 58, 1: 58, 2: 4};True
Moca M6;['Age', 'Nb An Scol', 'Iq Code J0', 'Poids', 'Taille', 'Mmse J7', 'Moca J7'];birch;N/A;agglomeration;2;{'silhouette': 0.17944447467761956, 'calinski_harabasz': 28.474207574659154, 'davies_bouldin': 1.8595810130915955};0.13837264055737764;0.030525636895370124;{0: 62, 1: 58};True
Moca M6;['Age', 'Nb An Scol', 'Iq Code J0', 'Poids', 'Taille', 'Mmse J7', 'Moca J7'];birch;N/A;agglomeration;3;{'silhouette': 0.1987510596515524, 'calinski_harabasz': 22.517638454789413, 'davies_bouldin': 1.4765991991999956};0.07075378250056139;0.03563253705958328;{0: 58, 1: 58, 2: 4};True
Moca M6;['Age', 'Nb An Scol', 'Iq Code J0', 'Poids', 'Taille', 'Moca J7', 'Nihss Score J7'];kmeans;N/A;variance;2;{'silhouette': 0.18074914032211836, 'calinski_harabasz': 29.047300746228824, 'davies_bouldin': 1.8479791523519131};0.17058677886145068;0.032080177765749285;{0: 60, 1: 60};True
Moca M6;['Age', 'Nb An Scol', 'Iq Code J0', 'Poids', 'Taille', 'Moca J7', 'Nihss Score J7'];kmeans;N/A;variance;3;{'silhouette': 0.1932599332545271, 'calinski_harabasz': 26.510558084964806, 'davies_bouldin': 1.5520051649400257};0.14766782352064328;0.04377948599739669;{0: 44, 1: 59, 2: 17};True
Moca M6;['Age', 'Nb An Scol', 'Iq Code J0', 'Poids', 'Taille', 'Moca J7', 'Nihss Score J7'];kmeans;N/A;pca;2;{'silhouette': 0.18074914032211833, 'calinski_harabasz': 29.04730074622883, 'davies_bouldin': 1.8479791523519133};0.17058677886145074;0.03208017776574931;{0: 60, 1: 60};True
Moca M6;['Age', 'Nb An Scol', 'Iq Code J0', 'Poids', 'Taille', 'Moca J7', 'Nihss Score J7'];kmeans;N/A;pca;3;{'silhouette': 0.19325993325452712, 'calinski_harabasz': 26.510558084964817, 'davies_bouldin': 1.5520051649400255};0.1476678235206433;0.04377948599739673;{0: 44, 1: 59, 2: 17};True
Moca M6;['Age', 'Nb An Scol', 'Iq Code J0', 'Poids', 'Taille', 'Moca J7', 'Nihss Score J7'];kmeans;N/A;agglomeration;2;{'silhouette': 0.18074914032211833, 'calinski_harabasz': 29.047300746228824, 'davies_bouldin': 1.847979152351913};0.1705867788614507;0.0320801777657493;{0: 60, 1: 60};True
Moca M6;['Age', 'Nb An Scol', 'Iq Code J0', 'Poids', 'Taille', 'Moca J7', 'Nihss Score J7'];kmeans;N/A;agglomeration;3;{'silhouette': 0.1932599332545271, 'calinski_harabasz': 26.510558084964806, 'davies_bouldin': 1.5520051649400262};0.14766782352064328;0.043779485997396686;{0: 44, 1: 59, 2: 17};True
Moca M6;['Age', 'Nb An Scol', 'Iq Code J0', 'Poids', 'Taille', 'Moca J7', 'Nihss Score J7'];kmeans;N/A;variance;2;{'silhouette': 0.18074914032211836, 'calinski_harabasz': 29.047300746228824, 'davies_bouldin': 1.8479791523519131};0.17058677886145068;0.032080177765749285;{0: 60, 1: 60};True
Moca M6;['Age', 'Nb An Scol', 'Iq Code J0', 'Poids', 'Taille', 'Moca J7', 'Nihss Score J7'];kmeans;N/A;variance;3;{'silhouette': 0.1932599332545271, 'calinski_harabasz': 26.510558084964806, 'davies_bouldin': 1.5520051649400257};0.14766782352064328;0.04377948599739669;{0: 44, 1: 59, 2: 17};True
Moca M6;['Age', 'Nb An Scol', 'Iq Code J0', 'Poids', 'Taille', 'Moca J7', 'Nihss Score J7'];kmeans;N/A;pca;2;{'silhouette': 0.18074914032211833, 'calinski_harabasz': 29.04730074622883, 'davies_bouldin': 1.8479791523519133};0.17058677886145074;0.03208017776574931;{0: 60, 1: 60};True
Moca M6;['Age', 'Nb An Scol', 'Iq Code J0', 'Poids', 'Taille', 'Moca J7', 'Nihss Score J7'];kmeans;N/A;pca;3;{'silhouette': 0.19325993325452712, 'calinski_harabasz': 26.510558084964817, 'davies_bouldin': 1.5520051649400255};0.1476678235206433;0.04377948599739673;{0: 44, 1: 59, 2: 17};True
Moca M6;['Age', 'Nb An Scol', 'Iq Code J0', 'Poids', 'Taille', 'Moca J7', 'Nihss Score J7'];kmeans;N/A;agglomeration;2;{'silhouette': 0.18074914032211833, 'calinski_harabasz': 29.047300746228824, 'davies_bouldin': 1.847979152351913};0.1705867788614507;0.0320801777657493;{0: 60, 1: 60};True
Moca M6;['Age', 'Nb An Scol', 'Iq Code J0', 'Poids', 'Taille', 'Moca J7', 'Nihss Score J7'];kmeans;N/A;agglomeration;3;{'silhouette': 0.1932599332545271, 'calinski_harabasz': 26.510558084964806, 'davies_bouldin': 1.5520051649400262};0.14766782352064328;0.043779485997396686;{0: 44, 1: 59, 2: 17};True
Moca M6;['Age', 'Nb An Scol', 'Iq Code J0', 'Poids', 'Taille', 'Moca J7', 'Nihss Score J7'];kmeans;N/A;variance;2;{'silhouette': 0.18074914032211836, 'calinski_harabasz': 29.047300746228824, 'davies_bouldin': 1.8479791523519131};0.17058677886145068;0.032080177765749285;{0: 60, 1: 60};True
Moca M6;['Age', 'Nb An Scol', 'Iq Code J0', 'Poids', 'Taille', 'Moca J7', 'Nihss Score J7'];kmeans;N/A;variance;3;{'silhouette': 0.1932599332545271, 'calinski_harabasz': 26.510558084964806, 'davies_bouldin': 1.5520051649400257};0.14766782352064328;0.04377948599739669;{0: 44, 1: 59, 2: 17};True
Moca M6;['Age', 'Nb An Scol', 'Iq Code J0', 'Poids', 'Taille', 'Moca J7', 'Nihss Score J7'];kmeans;N/A;pca;2;{'silhouette': 0.18074914032211833, 'calinski_harabasz': 29.04730074622883, 'davies_bouldin': 1.8479791523519133};0.17058677886145074;0.03208017776574931;{0: 60, 1: 60};True
Moca M6;['Age', 'Nb An Scol', 'Iq Code J0', 'Poids', 'Taille', 'Moca J7', 'Nihss Score J7'];kmeans;N/A;pca;3;{'silhouette': 0.19325993325452712, 'calinski_harabasz': 26.510558084964817, 'davies_bouldin': 1.5520051649400255};0.1476678235206433;0.04377948599739673;{0: 44, 1: 59, 2: 17};True
Moca M6;['Age', 'Nb An Scol', 'Iq Code J0', 'Poids', 'Taille', 'Moca J7', 'Nihss Score J7'];kmeans;N/A;agglomeration;2;{'silhouette': 0.18074914032211833, 'calinski_harabasz': 29.047300746228824, 'davies_bouldin': 1.847979152351913};0.1705867788614507;0.0320801777657493;{0: 60, 1: 60};True
Moca M6;['Age', 'Nb An Scol', 'Iq Code J0', 'Poids', 'Taille', 'Moca J7', 'Nihss Score J7'];kmeans;N/A;agglomeration;3;{'silhouette': 0.1932599332545271, 'calinski_harabasz': 26.510558084964806, 'davies_bouldin': 1.5520051649400262};0.14766782352064328;0.043779485997396686;{0: 44, 1: 59, 2: 17};True
Moca M6;['Age', 'Nb An Scol', 'Iq Code J0', 'Poids', 'Taille', 'Moca J7', 'Nihss Score J7'];kmeans;N/A;variance;2;{'silhouette': 0.18074914032211836, 'calinski_harabasz': 29.047300746228824, 'davies_bouldin': 1.8479791523519131};0.17058677886145068;0.032080177765749285;{0: 60, 1: 60};True
Moca M6;['Age', 'Nb An Scol', 'Iq Code J0', 'Poids', 'Taille', 'Moca J7', 'Nihss Score J7'];kmeans;N/A;variance;3;{'silhouette': 0.1932599332545271, 'calinski_harabasz': 26.510558084964806, 'davies_bouldin': 1.5520051649400257};0.14766782352064328;0.04377948599739669;{0: 44, 1: 59, 2: 17};True
Moca M6;['Age', 'Nb An Scol', 'Iq Code J0', 'Poids', 'Taille', 'Moca J7', 'Nihss Score J7'];kmeans;N/A;pca;2;{'silhouette': 0.18074914032211833, 'calinski_harabasz': 29.04730074622883, 'davies_bouldin': 1.8479791523519133};0.17058677886145074;0.03208017776574931;{0: 60, 1: 60};True
Moca M6;['Age', 'Nb An Scol', 'Iq Code J0', 'Poids', 'Taille', 'Moca J7', 'Nihss Score J7'];kmeans;N/A;pca;3;{'silhouette': 0.19325993325452712, 'calinski_harabasz': 26.510558084964817, 'davies_bouldin': 1.5520051649400255};0.1476678235206433;0.04377948599739673;{0: 44, 1: 59, 2: 17};True
Moca M6;['Age', 'Nb An Scol', 'Iq Code J0', 'Poids', 'Taille', 'Moca J7', 'Nihss Score J7'];kmeans;N/A;agglomeration;2;{'silhouette': 0.18074914032211833, 'calinski_harabasz': 29.047300746228824, 'davies_bouldin': 1.847979152351913};0.1705867788614507;0.0320801777657493;{0: 60, 1: 60};True
Moca M6;['Age', 'Nb An Scol', 'Iq Code J0', 'Poids', 'Taille', 'Moca J7', 'Nihss Score J7'];kmeans;N/A;agglomeration;3;{'silhouette': 0.1932599332545271, 'calinski_harabasz': 26.510558084964806, 'davies_bouldin': 1.5520051649400262};0.14766782352064328;0.043779485997396686;{0: 44, 1: 59, 2: 17};True
Moca M6;['Age', 'Nb An Scol', 'Iq Code J0', 'Poids', 'Taille', 'Moca J7', 'Nihss Score J7'];gmm;N/A;variance;2;{'silhouette': 0.14535883163623822, 'calinski_harabasz': 18.492114998668228, 'davies_bouldin': 2.3011486929674874};0.14449993587184828;0.05110433694430007;{0: 43, 1: 77};True
Moca M6;['Age', 'Nb An Scol', 'Iq Code J0', 'Poids', 'Taille', 'Moca J7', 'Nihss Score J7'];gmm;N/A;variance;3;{'silhouette': 0.1102036933186838, 'calinski_harabasz': 15.780797585334325, 'davies_bouldin': 2.1922188705254264};0.0764333255316977;0.016181803388690366;{0: 34, 1: 70, 2: 16};True
Moca M6;['Age', 'Nb An Scol', 'Iq Code J0', 'Poids', 'Taille', 'Moca J7', 'Nihss Score J7'];gmm;N/A;pca;2;{'silhouette': 0.14535883163623825, 'calinski_harabasz': 18.492114998668242, 'davies_bouldin': 2.301148692967487};0.14449993587184828;0.051104336944300076;{0: 43, 1: 77};True
Moca M6;['Age', 'Nb An Scol', 'Iq Code J0', 'Poids', 'Taille', 'Moca J7', 'Nihss Score J7'];gmm;N/A;pca;3;{'silhouette': 0.11020369331868385, 'calinski_harabasz': 15.780797585334337, 'davies_bouldin': 2.1922188705254255};0.07643332553169767;0.016181803388690377;{0: 34, 1: 70, 2: 16};True
Moca M6;['Age', 'Nb An Scol', 'Iq Code J0', 'Poids', 'Taille', 'Moca J7', 'Nihss Score J7'];gmm;N/A;agglomeration;2;{'silhouette': 0.14535883163623822, 'calinski_harabasz': 18.492114998668228, 'davies_bouldin': 2.3011486929674874};0.14449993587184828;0.051104336944300076;{0: 43, 1: 77};True
